Airline Code,Aircraft Registration,Aircraft Link,Aircraft,Airline,Operator,Type Code,Mode S,Serial Number,Age,DATE,FROM,TO,FLIGHT,FLIGHT TIME,STD,ATD,STA,STATUS,Color Code
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,15 Jan 2025,Denpasar(DPS),Dili(DIL),8G182,1:46,10:35 AM,10:42 AM,1:25 PM,Landed 1:28 PM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,15 Jan 2025,Dili(DIL),Denpasar(DPS),8G181,1:34,9:00 AM,9:06 AM,9:55 AM,Landed 9:40 AM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,14 Jan 2025,Denpasar(DPS),Dili(DIL),8G182,1:43,10:35 AM,10:35 AM,1:25 PM,Landed 1:18 PM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,14 Jan 2025,Dili(DIL),Denpasar(DPS),8G181,1:35,9:00 AM,9:06 AM,9:55 AM,Landed 9:41 AM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,13 Jan 2025,Oecusse(OEC),Dili(DIL),8G721,0:56,4:25 PM,4:25 PM,4:42 PM,Landed 5:21 PM,yellow
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,13 Jan 2025,Dili(DIL),Oecusse(OEC),8G711,0:27,3:30 PM,3:43 PM,3:47 PM,Landed 4:10 PM,yellow
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,13 Jan 2025,Denpasar(DPS),Dili(DIL),8G182,1:44,10:35 AM,11:31 AM,1:25 PM,Landed 2:15 PM,red
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,13 Jan 2025,Dili(DIL),Denpasar(DPS),8G181,1:45,9:00 AM,9:40 AM,9:55 AM,Landed 10:25 AM,yellow
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,13 Jan 2025,Oecusse(OEC),Dili(DIL),8G72,0:26,7:55 AM,8:20 AM,8:30 AM,Landed 8:45 AM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,13 Jan 2025,Dili(DIL),Oecusse(OEC),8G71,0:25,7:00 AM,7:13 AM,7:35 AM,Landed 7:38 AM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,12 Jan 2025,Denpasar(DPS),Dili(DIL),8G182,1:45,1:25 PM,1:56 PM,4:15 PM,Landed 4:41 PM,yellow
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,12 Jan 2025,Dili(DIL),Denpasar(DPS),8G181,1:55,11:45 AM,11:40 AM,12:40 PM,Landed 12:35 PM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,12 Jan 2025,Singapore(SIN),Dili(DIL),8G992,3:43,1:30 AM,2:08 AM,6:30 AM,Landed 6:50 AM,yellow
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,11 Jan 2025,Dili(DIL),Singapore(SIN),8G991,3:48,5:00 PM,4:52 PM,8:00 PM,Landed 7:40 PM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,11 Jan 2025,Denpasar(DPS),Dili(DIL),8G182,1:42,10:35 AM,10:50 AM,1:25 PM,Landed 1:32 PM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,11 Jan 2025,Dili(DIL),Denpasar(DPS),8G181,1:40,9:00 AM,9:02 AM,9:55 AM,Landed 9:43 AM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,10 Jan 2025,Oecusse(OEC),Dili(DIL),8G72,0:30,4:25 PM,4:35 PM,5:00 PM,Landed 5:05 PM,green
8g-dtl,4w-aal,https://www.flightradar24.com/data/aircraft/4w-aal,Airbus A320-232,Aero Dili,Aero Dili,A320,C95000,03672,16 years,10 Jan 2025,Dili(DIL),Oecusse(OEC),8G71,0:26,3:30 PM,3:27 PM,4:05 PM,Landed 3:53 PM,green
