Airline Code,Aircraft Registration,Aircraft Link,Aircraft,Airline,Operator,Type Code,Mode S,Serial Number,Age,DATE,FROM,TO,FLIGHT,FLIGHT TIME,STD,ATD,STA,STATUS,Color Code
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,16 Jan 2025,Phnom Penh(PNH),Bangkok(BKK),KR701,0:52,8:15 AM,8:12 AM,9:30 AM,Landed 9:04 AM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,16 Jan 2025,Shenzhen(SZX),Phnom Penh(PNH),KR930,2:19,4:30 AM,5:05 AM,6:25 AM,Landed 6:24 AM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,15 Jan 2025,Phnom Penh(PNH),Shenzhen(SZX),KR929,2:11,11:50 PM,12:34 AM,3:30 AM,Landed 3:45 AM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,15 Jan 2025,Chengdu(TFU),Phnom Penh(PNH),KR962,3:06,1:30 PM,1:39 PM,4:00 PM,Landed 3:45 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,15 Jan 2025,Phnom Penh(PNH),Chengdu(TFU),KR961,3:06,8:10 AM,8:10 AM,12:30 PM,Landed 12:16 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,14 Jan 2025,Macau(MFM),Phnom Penh(PNH),KR502,2:22,10:40 PM,10:42 PM,12:20 AM,Landed 12:04 AM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,14 Jan 2025,Airai(ROR),Macau(MFM),KR5562,3:30,6:40 PM,6:47 PM,9:40 PM,Landed 9:17 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,14 Jan 2025,Macau(MFM),Airai(ROR),KR5561,3:42,12:30 PM,12:53 PM,5:40 PM,Landed 5:35 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,14 Jan 2025,Phnom Penh(PNH),Macau(MFM),KR503,2:04,8:05 AM,8:33 AM,11:35 AM,Landed 11:37 AM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,13 Jan 2025,Changsha(CSX),Phnom Penh(PNH),KR942,3:19,11:15 PM,11:27 PM,1:30 AM,Landed 1:46 AM,yellow
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,13 Jan 2025,Phnom Penh(PNH),Changsha(CSX),KR941,2:50,6:00 PM,6:00 PM,10:15 PM,Landed 9:49 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,13 Jan 2025,Ningbo(NGB),Phnom Penh(PNH),KR918,—,1:30 PM,—,4:50 PM,Estimated departure  1:42 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,13 Jan 2025,Phnom Penh(PNH),Ningbo(NGB),KR917,3:28,7:40 AM,7:40 AM,12:30 PM,Landed 12:07 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,13 Jan 2025,Guangzhou(CAN),Phnom Penh(PNH),KR938,2:39,3:35 AM,3:54 AM,5:30 AM,Landed 5:33 AM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,12 Jan 2025,Phnom Penh(PNH),Guangzhou(CAN),KR937,2:28,10:50 PM,11:13 PM,2:25 AM,Landed 2:41 AM,yellow
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,12 Jan 2025,Kuala Lumpur(KUL),Phnom Penh(PNH),KR782,1:33,7:15 PM,7:24 PM,8:20 PM,Landed 7:57 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,12 Jan 2025,Phnom Penh(PNH),Kuala Lumpur(KUL),KR781,1:39,3:15 PM,3:22 PM,6:15 PM,Landed 6:01 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,12 Jan 2025,Chengdu(TFU),Phnom Penh(PNH),KR962,3:11,11:30 AM,12:00 PM,2:10 PM,Landed 2:11 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,12 Jan 2025,Phnom Penh(PNH),Chengdu(TFU),KR961,2:53,6:10 AM,6:25 AM,10:30 AM,Landed 10:17 AM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,10 Jan 2025,Macau(MFM),Phnom Penh(PNH),KR502,2:25,10:40 PM,10:55 PM,12:20 AM,Landed 12:19 AM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,10 Jan 2025,Airai(ROR),Macau(MFM),KR5562,3:43,6:40 PM,6:53 PM,9:40 PM,Landed 9:36 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,10 Jan 2025,Macau(MFM),Airai(ROR),KR5561,3:35,12:30 PM,12:56 PM,5:40 PM,Landed 5:31 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,10 Jan 2025,Phnom Penh(PNH),Macau(MFM),KR503,2:03,8:05 AM,8:39 AM,11:35 AM,Landed 11:42 AM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,09 Jan 2025,Kuala Lumpur(KUL),Phnom Penh(PNH),KR782,1:32,6:15 PM,6:21 PM,7:20 PM,Landed 6:53 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,09 Jan 2025,Phnom Penh(PNH),Kuala Lumpur(KUL),KR781,1:38,2:20 PM,2:22 PM,5:15 PM,Landed 5:00 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,09 Jan 2025,Bangkok(BKK),Phnom Penh(PNH),KR702,0:54,10:35 AM,11:08 AM,11:50 AM,Landed 12:02 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,09 Jan 2025,Phnom Penh(PNH),Bangkok(BKK),KR701,0:53,8:15 AM,8:13 AM,9:30 AM,Landed 9:06 AM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,09 Jan 2025,Shenzhen(SZX),Phnom Penh(PNH),KR930,2:20,4:30 AM,4:58 AM,6:25 AM,Landed 6:18 AM,green
