Airline Code,Aircraft Registration,Airline,Reason
3u-csc,b-32h2,Sichuan Airlines (熊猫之路 Panda Route Livery),Less data
3u-csc,b-8958,Sichuan Airlines (熊猫之路 Panda Route Livery),Less data
3u-csc,b-32kl,Sichuan Airlines (熊猫之路 Panda Route Livery),Less data
3u-csc,b-32jr,Sichuan Airlines (熊猫之路 Panda Route Livery),Less data
3u-csc,b-32jq,Sichuan Airlines (熊猫之路 Panda Route Livery),Less data
3u-csc,b-32k8,Sichuan Airlines (熊猫之路 Panda Route Livery),Less data
3u-csc,b-322t,Sichuan Airlines (熊猫之路 Panda Route Livery),Less data
3u-csc,b-30e0,Sichuan Airlines (熊猫之路 Panda Route Livery),Less data
3u-csc,b-30ca,Sichuan Airlines (熊猫之路 Panda Route Livery),Less data
3u-csc,b-32f8,Sichuan Airlines (熊猫之路 Panda Route Livery),Less data
3u-csc,b-30dz,Sichuan Airlines (熊猫之路 Panda Route Livery),Less data
3u-csc,b-32gx,Sichuan Airlines (熊猫之路 Panda Route Livery),Less data
3u-csc,b-32g2,Sichuan Airlines (熊猫之路 Panda Route Livery),Less data
3u-csc,b-32hf,Sichuan Airlines (熊猫之路 Panda Route Livery),Less data
3u-csc,b-325g,Sichuan Airlines (熊猫之路 Panda Route Livery),Less data
3u-csc,b-32d2,Sichuan Airlines (熊猫之路 Panda Route Livery),Less data
3u-csc,b-30cj,Sichuan Airlines (熊猫之路 Panda Route Livery),Less data
3u-csc,b-305s,Sichuan Airlines (熊猫之路 Panda Route Livery),Less data
3u-csc,b-32jh,Sichuan Airlines (熊猫之路 Panda Route Livery),Less data
3u-csc,b-323m,Sichuan Airlines (熊猫之路 Panda Route Livery),Less data
6e-igo,vt-imn,IndiGo,Less data
6e-igo,vt-icv,IndiGo,Less data
6e-igo,vt-iws,IndiGo,Less data
6e-igo,vt-ily,IndiGo,Less data
6e-igo,vt-iuu,IndiGo,Less data
6e-igo,vt-ivu,IndiGo,Less data
6e-igo,vt-ixi,IndiGo,Less data
6e-igo,vt-iua,IndiGo,Less data
6e-igo,vt-ixn,IndiGo,Less data
6e-igo,vt-imk,IndiGo,Less data
6e-igo,vt-ixe,IndiGo,Less data
6e-igo,vt-imd,IndiGo,Less data
6e-igo,vt-ivm,IndiGo,Less data
6e-igo,vt-ims,IndiGo,Less data
6e-igo,vt-ixh,IndiGo,Less data
6e-igo,vt-ijr,IndiGo,Less data
6e-igo,vt-ixf,IndiGo,Less data
6e-igo,vt-icr,IndiGo,Less data
6e-igo,vt-iqy,IndiGo,Less data
6e-igo,vt-imh,IndiGo,Less data
6e-igo,vt-icf,IndiGo,Less data
6e-igo,vt-iwr,IndiGo,Less data
6e-igo,vt-izt,IndiGo,Less data
6e-igo,vt-iqu,IndiGo,Less data
6e-igo,vt-icx,IndiGo,Less data
6e-igo,vt-ivd,IndiGo,Less data
6e-igo,9h-slh,IndiGo,Less data
6e-igo,vt-iks,IndiGo,Less data
6e-igo,vt-iml,IndiGo,Less data
6e-igo,vt-img,IndiGo,Less data
6e-igo,vt-ixk,IndiGo,Less data
6e-igo,vt-ime,IndiGo,Less data
6e-igo,vt-ivt,IndiGo,Less data
6e-igo,vt-ikp,IndiGo,Less data
6e-igo,vt-iwt,IndiGo,Less data
6e-igo,vt-iqx,IndiGo,Less data
6e-igo,vt-ivb,IndiGo,Less data
6e-igo,vt-iqw,IndiGo,Less data
6e-igo,vt-imc,IndiGo,Less data
6e-igo,vt-icm,IndiGo,Less data
6e-igo,vt-icw,IndiGo,Less data
6e-igo,vt-izs,IndiGo,Less data
6e-igo,vt-iwq,IndiGo,Less data
6e-igo,vt-imq,IndiGo,Less data
6e-igo,vt-ilx,IndiGo,Less data
6e-igo,vt-izr,IndiGo,Less data
6e-igo,vt-ixd,IndiGo,Less data
6e-igo,vt-iaz,IndiGo,Less data
6e-igo,vt-ixj,IndiGo,Less data
6e-igo,vt-ixa,IndiGo,Less data
6e-igo,vt-icb,IndiGo,Less data
6e-igo,vt-izw,IndiGo,Less data
6e-igo,vt-ixp,IndiGo,Less data
6e-igo,vt-imj,IndiGo,Less data
6e-igo,vt-irz,IndiGo,Less data
6e-igo,vt-imm,IndiGo,Less data
6e-igo,vt-icg,IndiGo,Less data
6e-igo,vt-icc,IndiGo,Less data
6e-igo,vt-imu,IndiGo,Less data
6e-igo,vt-iwm,IndiGo,Less data
6e-igo,vt-iuo,IndiGo,Less data
6e-igo,vt-iwn,IndiGo,Less data
6e-igo,vt-ich,IndiGo,Less data
6e-igo,vt-ixo,IndiGo,Less data
6e-igo,vt-ilz,IndiGo,Less data
6e-igo,vt-icd,IndiGo,Less data
6e-igo,vt-imr,IndiGo,Less data
6e-igo,vt-iux,IndiGo,Less data
6e-igo,vt-ilw,IndiGo,Less data
6e-igo,vt-iva,IndiGo,Less data
6e-igo,vt-ivz,IndiGo,Less data
6e-igo,vt-icq,IndiGo,Less data
6e-igo,vt-iwx,IndiGo,Less data
6e-igo,vt-irn,IndiGo,Less data
6e-igo,vt-ick,IndiGo,Less data
6e-igo,vt-iwz,IndiGo,Less data
6e-igo,vt-itn,IndiGo,Less data
6e-igo,vt-ivr,IndiGo,Less data
6e-igo,vt-iqz,IndiGo,Less data
6e-igo,vt-ict,IndiGo,Less data
6e-igo,vt-izg,IndiGo,Less data
6e-igo,vt-iqt,IndiGo,Less data
6e-igo,vt-irp,IndiGo,Less data
6e-igo,9h-sle,IndiGo,Less data
6e-igo,vt-ikq,IndiGo,Less data
6e-igo,vt-irv,IndiGo,Less data
6e-igo,vt-ics,IndiGo,Less data
6e-igo,vt-imi,IndiGo,Less data
6e-igo,vt-imb,IndiGo,Less data
6e-igo,vt-ivw,IndiGo,Less data
6e-igo,vt-ixm,IndiGo,Less data
6e-igo,vt-irw,IndiGo,Less data
6e-igo,vt-ilv,IndiGo,Less data
6e-igo,vt-nca,IndiGo,Less data
6e-igo,vt-ixg,IndiGo,Less data
6e-igo,vt-iwv,IndiGo,Less data
6e-igo,vt-irq,IndiGo,Less data
6e-igo,vt-iji,IndiGo,Less data
6e-igo,vt-isc,IndiGo,Less data
6e-igo,vt-ixl,IndiGo,Less data
6e-igo,vt-irx,IndiGo,Less data
6e-igo,vt-irs,IndiGo,Less data
6e-igo,vt-icz,IndiGo,Less data
6e-igo,vt-izd,IndiGo,Less data
6e-igo,vt-icy,IndiGo,Less data
6e-igo,vt-icp,IndiGo,Less data
6e-igo,vt-icl,IndiGo,Less data
6e-igo,vt-iro,IndiGo,Less data
6e-igo,vt-iww,IndiGo,Less data
6e-igo,vt-iqv,IndiGo,Less data
6e-igo,vt-iry,IndiGo,Less data
6e-igo,vt-ilu,IndiGo,Less data
6e-igo,vt-ici,IndiGo,Less data
7c-jja,hl8303,Jeju Air,Less data
7c-jja,hl8339,Jeju Air,Less data
7c-jja,hl8302,Jeju Air,Less data
7c-jja,hl8305,Jeju Air,Less data
7c-jja,hl8336,Jeju Air,Less data
7c-jja,hl8322,Jeju Air,Less data
7c-jja,hl8260,Jeju Air,Less data
7c-jja,hl8234,Jeju Air,Less data
7c-jja,hl8032,Jeju Air,Less data
7c-jja,hl8321,Jeju Air,Less data
7c-jja,hl8527,Jeju Air,Less data
7c-jja,hl8087,Jeju Air,Less data
7c-jja,hl8317,Jeju Air,Less data
7c-jja,hl8296,Jeju Air,Less data
7c-jja,hl8318,Jeju Air,Less data
7c-jja,hl8089,Jeju Air,Less data
7c-jja,hl8539,Jeju Air,Less data
7c-jja,hl8064,Jeju Air,Less data
7c-jja,hl8261,Jeju Air,Less data
7c-jja,hl8316,Jeju Air,Less data
7c-jja,hl8337,Jeju Air,Less data
7c-jja,hl8333,Jeju Air,Less data
7c-jja,hl8332,Jeju Air,Less data
7c-jja,hl8334,Jeju Air,Less data
7c-jja,hl8335,Jeju Air,Less data
7c-jja,hl8090,Jeju Air,Less data
7c-jja,hl8331,Jeju Air,Less data
7c-jja,hl8301,Jeju Air,Less data
9c-cqh,b-32hz,Spring Airlines,Less data
9c-cqh,b-32ef,Spring Airlines,Less data
9c-cqh,b-32e2,Spring Airlines,Less data
9c-cqh,b-32hj,Spring Airlines,Less data
