planeID,aircraftTypeCode,operator,code,modeS,serialNumber,age,DATE,FROM,TO,FLIGHT,FLIGHT TIME,STD,ATD,STA,ONTIME,STATUS
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,16 Jan 2025,Macau (MFM),Singapore (SIN),NX908,3:30,12:05 PM,12:18 PM,4:15 PM,green,Landed 3:48 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,16 Jan 2025,Kaohsiung (KHH),Macau (MFM),NX657,1:19,9:00 AM,8:59 AM,10:25 AM,green,Landed 10:18 AM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,15 Jan 2025,Macau (MFM),Kaohsiung (KHH),NX658,1:00,9:45 PM,9:59 PM,11:15 PM,green,Landed 10:59 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,15 Jan 2025,Nanjing (NKG),Macau (MFM),NX127,2:14,4:40 PM,5:27 PM,7:55 PM,green,Landed 7:41 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,15 Jan 2025,Macau (MFM),Nanjing (NKG),NX128,2:08,1:30 PM,2:11 PM,3:50 PM,yellow,Landed 4:18 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,15 Jan 2025,Jakarta (CGK),Macau (MFM),NX909,4:35,7:00 AM,7:04 AM,12:50 PM,green,Landed 12:39 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,14 Jan 2025,Macau (MFM),Jakarta (CGK),NX910,4:27,8:55 PM,9:15 PM,12:45 AM,green,Landed 12:43 AM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,14 Jan 2025,Nanjing (NKG),Macau (MFM),NX127,2:18,4:40 PM,4:53 PM,7:55 PM,green,Landed 7:12 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,14 Jan 2025,Macau (MFM),Nanjing (NKG),NX128,1:56,1:30 PM,1:52 PM,3:50 PM,green,Landed 3:48 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,14 Jan 2025,Shanghai (SHA),Macau (MFM),NX137,2:17,9:55 AM,10:14 AM,12:30 PM,green,Landed 12:32 PM
